date,forecasted_sales
2024-01-16,6234.50
2024-01-17,5845.20
2024-01-18,6789.30
2024-01-19,7123.45
2024-01-20,7456.80
2024-01-21,7890.15
2024-01-22,7234.60
2024-01-23,6145.70
2024-01-24,5834.90
2024-01-25,6123.45
2024-01-26,6567.80
2024-01-27,6234.50
2024-01-28,7345.20
2024-01-29,7789.60
2024-01-30,8123.45
2024-01-31,7956.80
2024-02-01,6234.50
2024-02-02,5923.70
2024-02-03,6345.80
2024-02-04,6789.20
2024-02-05,7234.60
2024-02-06,7612.45
2024-02-07,7890.30
2024-02-08,6523.15
2024-02-09,6145.70
2024-02-10,6567.80
2024-02-11,6234.50
2024-02-12,6845.20
2024-02-13,7234.60
2024-02-14,7612.45
